Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Internal_Marks,Final_Marks
S053,9.46,77.6,91.65,89.15,49.12,84.13
S054,9.05,78.05,83.93,93.05,92.01,86.16
S055,6.38,93.83,94.89,53.68,86.75,80.1
S056,9.3,70.17,59.29,52.72,76.8,64.72
S057,1.8,56.7,82.2,76.66,65.43,59.67
S058,2.76,51.44,62.11,64.66,62.65,46.76
S059,1.41,87.76,66.39,90.39,75.8,62.11
S060,3.93,81.02,74.51,94.0,70.0,69.16
S061,4.5,85.2,88.05,61.21,43.43,70.55
S062,3.44,60.65,94.12,54.21,68.19,58.09
S063,8.46,56.82,82.26,86.83,84.35,66.55
S064,4.21,50.73,62.98,56.49,65.26,55.85
S065,3.53,67.53,63.17,89.36,42.86,62.83
S066,5.88,79.5,80.57,65.42,83.25,78.9
S067,2.27,69.61,53.13,80.05,51.08,51.94
S068,8.22,71.87,46.08,45.73,54.22,59.89
S069,1.67,95.21,59.5,77.43,49.06,58.88
S070,9.88,67.41,55.8,67.11,58.16,66.59
S071,7.95,75.7,56.3,75.2,81.62,74.84
S072,2.79,89.18,52.85,50.08,68.57,58.76
S073,1.05,69.83,42.32,84.21,51.27,50.08
S074,8.34,81.1,40.98,91.77,88.28,85.19
S075,7.36,93.12,94.32,53.0,88.38,85.15
S076,7.56,97.48,63.53,45.74,87.88,74.39
S077,7.94,57.35,61.14,41.42,53.13,61.28
S078,1.67,96.33,77.38,78.52,64.82,56.52
S079,4.23,74.61,52.0,76.43,94.17,62.19
S080,2.04,62.91,92.25,72.8,82.46,62.89
S081,8.77,72.96,83.25,53.92,41.49,68.92
S082,6.61,99.0,44.92,63.45,43.59,63.23
S083,3.98,74.63,62.97,75.67,65.52,57.99
S084,1.57,66.44,88.35,69.81,90.01,68.77
S085,3.8,81.67,91.96,99.27,69.63,72.67
S086,3.93,62.01,65.71,48.19,67.38,56.9
S087,7.57,53.79,73.74,81.71,45.8,64.13
S088,6.74,56.44,49.19,64.26,76.12,62.7
S089,8.98,56.4,94.51,65.69,85.22,84.28
S090,5.25,57.6,52.74,83.06,60.92,54.85
S091,2.08,56.94,91.85,81.55,82.66,61.6
S092,7.42,82.04,75.73,99.48,93.05,81.23
S093,7.85,59.09,73.43,47.7,51.21,59.42
S094,6.05,67.28,68.2,46.25,68.78,60.74
S095,7.94,94.84,52.69,83.46,55.79,69.59
S096,5.44,73.7,49.71,74.7,83.61,68.47
S097,5.7,83.38,52.13,56.45,71.77,65.02
S098,4.85,58.62,50.25,44.77,74.9,56.64
S099,1.23,59.61,82.88,45.14,83.89,60.41
S100,1.97,52.04,59.26,93.65,61.78,51.32
S101,1.28,58.45,43.18,51.51,90.33,50.47
S102,6.73,63.93,93.3,59.4,69.32,72.32
S103,3.83,58.85,88.61,53.6,48.69,59.65
S104,5.58,54.44,91.03,61.3,78.27,67.04
S105,9.17,56.03,94.72,44.17,83.63,69.19
S106,3.24,73.04,49.56,71.14,57.42,53.17
S107,4.69,60.32,61.79,44.06,87.14,66.77
S108,7.8,68.21,81.7,88.02,89.84,84.04
S109,3.06,75.17,78.28,54.02,55.23,62.56
S110,1.69,84.52,48.46,72.4,94.09,64.26
S111,3.61,51.97,84.87,92.8,47.74,59.81
S112,2.45,89.97,52.34,79.05,51.11,56.12
S113,9.37,81.4,52.31,71.98,50.13,67.53
S114,8.27,54.09,69.53,59.46,89.17,71.4
S115,6.7,93.68,72.61,59.98,75.99,77.3
S116,8.84,96.04,71.9,80.17,48.37,81.8
S117,8.23,53.05,45.03,99.65,64.22,64.7
S118,2.68,63.84,88.26,79.71,73.84,62.47
S119,9.03,90.31,54.61,73.47,44.59,70.56
S120,5.85,87.41,47.12,83.84,88.53,72.39
S121,8.27,59.23,88.88,67.91,84.2,72.59
S122,9.06,60.47,92.56,43.61,67.79,66.63
S123,3.86,68.52,87.42,73.74,93.19,69.02
S124,1.99,74.23,84.52,97.46,62.98,58.41
S125,3.05,80.91,76.04,50.52,94.13,64.67
S126,4.84,68.45,70.3,81.4,76.74,66.27
S127,8.36,73.13,44.78,52.06,74.91,65.1
S128,8.75,87.37,62.46,72.15,49.13,77.81
S129,1.06,51.83,60.5,45.8,88.51,51.74
S130,5.6,62.62,54.29,67.02,63.51,60.69
S131,4.76,85.67,79.79,85.37,48.92,69.78
S132,3.0,94.76,67.27,60.85,40.69,52.94
S133,2.08,75.58,44.46,79.89,70.79,57.73
S134,4.04,76.61,52.11,87.73,69.01,60.72
S135,9.49,55.36,77.58,95.63,79.56,82.34
S136,3.91,72.37,44.19,54.08,88.96,54.21
S137,5.67,76.63,86.82,63.96,44.37,60.26
S138,7.33,62.12,67.23,49.14,80.23,71.78
S139,4.27,63.46,66.43,99.55,50.31,61.5
S140,9.75,68.86,72.58,95.62,87.2,79.68
S141,9.66,51.0,85.36,72.4,85.05,76.47
S142,3.27,66.1,59.13,90.52,69.74,63.67
S143,5.48,60.57,77.29,71.26,79.06,63.31
S144,3.71,66.37,71.12,77.42,57.29,66.09
S145,3.56,55.99,54.69,45.35,65.91,47.89
S146,1.33,94.53,88.32,85.32,85.19,72.44
S147,6.49,79.68,83.86,47.66,65.26,69.62
S148,5.52,83.96,76.21,89.56,59.68,72.96
S149,1.46,89.46,86.78,86.92,67.18,63.2
S150,3.51,74.92,87.7,82.52,85.55,70.39
S151,9.17,54.35,78.96,42.17,58.44,69.61
S152,3.16,76.86,86.04,58.19,49.56,56.49
S153,2.3,79.34,78.36,55.79,79.16,65.59
S154,5.41,87.27,77.41,61.61,85.43,71.51
S155,9.87,71.58,74.02,45.26,45.54,70.22
S156,3.18,56.38,81.4,96.22,53.19,55.85
S157,7.05,64.19,48.72,73.23,47.81,49.28
S158,7.85,68.15,88.45,58.33,59.14,72.28
S159,3.14,82.3,87.95,63.82,64.77,75.28
S160,7.55,78.54,41.61,66.83,81.19,71.05
S161,4.31,67.8,85.42,76.04,75.81,68.38
S162,6.69,99.33,47.09,70.94,74.15,69.24
S163,6.7,80.29,58.43,95.16,59.38,68.9
S164,5.82,61.86,80.89,69.82,86.28,73.58
S165,1.81,55.09,48.84,99.53,65.92,46.17
S166,8.52,57.64,84.99,91.09,93.85,86.41
S167,3.89,62.3,85.77,52.51,74.88,66.71
S168,2.68,58.03,67.91,95.84,46.94,57.13
S169,1.37,59.33,40.35,46.98,77.19,47.26
S170,6.32,64.25,55.79,89.05,57.88,63.15
S171,7.1,58.67,73.93,62.84,77.75,72.49
S172,1.15,94.84,93.97,92.68,43.83,65.73
S173,5.61,54.01,74.75,92.08,49.62,61.23
S174,3.04,76.23,54.29,88.36,87.07,60.37
S175,6.81,70.52,74.87,87.4,52.49,69.48
S176,2.57,99.12,69.7,58.28,86.04,72.9
S177,7.22,55.6,82.89,44.86,55.36,60.49
S178,4.48,69.89,45.88,64.18,75.36,52.27
S179,9.43,98.47,81.86,50.41,78.18,85.07
S180,2.24,93.28,69.77,81.7,68.2,63.7
S181,4.07,90.85,92.96,60.77,56.79,69.71
S182,2.02,62.9,58.8,98.54,51.7,53.5
S183,9.32,58.54,74.79,78.46,41.83,69.03
S184,8.9,83.43,91.26,89.35,56.72,87.98
S185,3.32,96.47,45.64,47.95,75.92,52.58
S186,6.94,77.84,91.55,91.72,91.61,79.98
S187,8.35,78.58,77.83,95.37,87.92,82.77
S188,6.0,64.0,43.73,69.22,82.13,55.5
S189,5.77,88.47,56.55,76.38,83.36,69.86
S190,3.18,59.35,78.95,85.89,76.57,70.1
S191,1.84,66.18,43.7,50.49,54.32,44.75
S192,9.07,71.27,72.02,70.15,89.9,80.86
S193,9.1,75.38,59.02,63.92,76.89,69.32
S194,6.7,62.12,74.15,48.78,70.82,64.28
S195,4.05,55.74,42.52,62.05,46.1,45.83
S196,4.14,80.53,87.93,44.09,64.59,64.5
S197,7.53,64.43,93.54,41.55,65.32,77.45
S198,9.07,79.06,93.29,48.11,87.55,86.37
S199,8.98,57.72,81.23,97.79,70.07,73.66
S200,8.02,74.06,47.15,72.97,60.92,67.11
S201,6.78,76.63,81.7,97.95,93.72,83.23
S202,1.76,52.59,41.35,65.95,46.09,45.62
S203,2.45,66.83,41.22,58.71,63.24,54.65
S204,9.09,56.72,57.8,70.37,42.31,59.95
S205,6.46,53.17,66.88,66.37,80.69,63.03
S206,1.08,99.5,82.37,46.34,90.49,60.9
S207,1.91,66.12,77.58,78.45,55.4,55.39
S208,6.97,90.49,64.52,52.96,87.21,76.26
S209,1.05,62.73,55.05,77.18,56.07,51.8
S210,2.45,84.08,94.84,79.01,90.09,72.26
S211,5.94,88.01,63.44,49.12,81.47,68.24
S212,7.23,79.78,64.83,43.68,84.27,72.06
S213,6.87,73.58,49.0,86.85,40.99,57.68
S214,3.02,70.59,83.71,67.59,92.95,76.3
S215,7.41,67.44,78.15,43.49,79.97,65.46
S216,3.14,96.48,52.14,99.69,56.76,62.23
S217,3.93,91.53,44.53,43.47,85.62,68.82
S218,7.72,98.25,77.43,81.7,55.48,77.6
S219,6.85,56.21,76.0,99.02,88.0,74.1
S220,8.64,86.54,55.03,54.35,46.19,65.92
S221,6.92,96.92,92.3,48.53,78.7,79.63
S222,6.11,59.06,48.31,47.28,69.74,63.34
S223,1.84,53.32,63.78,58.2,45.31,37.25
S224,4.31,87.06,91.9,46.06,53.3,72.56
S225,3.39,78.72,63.09,81.53,40.68,50.58
S226,3.2,92.09,75.12,43.74,65.78,61.65
S227,9.76,56.99,61.87,70.57,56.57,67.91
S228,4.54,89.76,55.08,99.8,72.91,69.98
S229,9.03,60.08,94.12,88.84,56.35,71.88
S230,6.68,58.18,62.51,76.91,56.5,64.8
S231,8.15,58.21,89.18,58.38,80.88,84.43
S232,5.52,90.73,52.65,77.43,42.65,55.94
S233,6.19,83.26,51.72,71.62,89.66,70.92
S234,5.43,76.15,41.71,65.57,86.87,60.52
S235,2.76,67.94,75.84,47.84,76.73,61.28
S236,7.5,93.86,60.27,93.2,72.63,76.52
S237,3.53,69.62,87.54,66.99,89.08,66.57
S238,1.22,90.83,66.03,51.68,50.19,54.88
S239,6.81,71.96,93.25,62.07,44.34,77.02
S240,2.59,68.85,50.2,64.85,53.17,49.16
S241,9.46,73.13,87.77,89.65,83.7,88.82
S242,9.59,65.07,82.71,84.02,41.91,69.27
S243,9.23,87.38,82.4,86.16,72.05,80.36
S244,4.33,75.14,86.46,40.66,94.75,72.38
S245,1.14,61.61,81.86,64.97,87.06,65.48
S246,9.35,94.98,74.44,68.88,68.68,83.04
S247,4.85,69.19,47.22,41.15,43.5,49.34
S248,9.7,77.18,41.79,55.59,85.73,72.83
S249,9.67,95.32,90.65,85.62,72.94,84.06
S250,8.68,81.21,73.92,48.23,46.32,72.92
S251,3.65,55.84,83.81,72.12,45.16,61.02
S252,4.47,96.99,66.48,52.91,90.03,68.67
S253,8.66,81.39,46.45,40.73,76.81,67.09
S254,3.85,66.75,46.89,54.47,85.61,58.33
S255,2.53,56.96,77.71,98.55,88.34,62.91
S256,6.01,89.7,63.67,88.09,71.45,71.72
S257,9.43,81.0,51.03,97.57,68.46,84.37
S258,7.26,76.67,67.04,69.27,63.67,68.93
S259,6.13,94.69,43.53,46.58,57.43,59.86
S260,1.87,89.43,72.01,72.88,63.9,58.05
S261,6.54,57.58,54.79,67.26,82.56,67.77
S262,9.91,65.59,83.87,90.66,73.11,81.82
S263,2.26,62.42,57.07,45.88,89.09,52.21
S264,5.66,87.2,65.04,69.29,64.39,72.95
S265,8.9,51.68,40.64,49.0,73.39,67.99
S266,7.67,78.49,43.98,59.48,74.72,64.35
S267,7.27,88.12,61.59,84.24,72.54,66.67
S268,7.32,93.84,66.4,68.56,78.64,80.29
S269,4.24,67.1,73.0,62.55,53.06,56.39
S270,3.64,91.06,56.04,63.67,68.18,64.49
S271,8.28,55.53,78.22,67.57,45.73,59.4
S272,8.29,92.32,87.31,87.1,61.15,85.53
S273,8.8,56.37,82.89,93.53,66.82,71.88
S274,9.22,69.86,42.18,97.32,75.87,75.4
S275,5.6,89.86,66.43,87.21,92.28,75.82
S276,5.51,57.5,45.77,58.92,73.04,53.41
S277,8.18,61.46,53.31,81.29,80.9,68.76
S278,6.85,86.11,94.27,66.26,67.84,80.85
S279,7.32,86.0,47.84,55.28,74.88,68.38
S280,8.16,82.06,67.44,90.45,43.9,73.84
S281,9.01,84.7,74.0,42.31,53.99,80.9
S282,4.04,77.14,78.64,94.11,59.9,60.33
S283,4.38,62.59,70.78,67.69,65.99,67.6
S284,1.85,67.28,40.54,78.23,42.51,44.95
S285,6.2,59.08,57.96,79.56,47.7,55.72
S286,1.32,95.42,68.47,93.71,55.22,54.61
S287,5.19,79.17,44.83,78.2,93.43,65.77
S288,5.88,70.04,59.28,76.84,58.22,66.55
S289,3.58,73.1,41.83,44.0,66.51,51.22
S290,6.32,97.36,44.32,71.1,50.79,69.66
S291,1.27,57.67,61.83,49.01,73.59,43.99
S292,1.34,79.31,47.3,84.25,55.44,50.49
S293,8.4,75.29,71.21,70.73,51.38,66.21
S294,4.24,80.57,77.92,80.81,68.41,69.42
S295,2.14,50.91,84.03,42.5,40.3,52.41
S296,5.7,93.61,51.01,45.09,40.42,56.63
S297,7.93,96.61,49.21,82.98,52.05,59.74
S298,2.94,78.26,45.75,44.33,42.02,48.08
S299,6.61,84.83,75.0,44.28,45.94,67.6
S300,1.77,96.12,78.86,40.73,58.64,60.78
S301,1.47,85.36,41.74,97.39,84.14,62.68
S302,5.78,57.63,91.49,84.25,71.46,67.29
S303,5.87,78.81,42.86,61.2,68.2,63.62
S304,6.74,80.34,69.77,57.79,56.14,72.13
S305,7.53,71.21,79.0,60.98,91.25,70.06
S306,9.78,86.82,87.9,86.48,61.84,86.09
S307,5.65,96.72,79.27,79.68,44.79,68.19
S308,3.91,96.28,84.1,51.11,73.94,69.62
S309,8.16,72.54,58.67,50.45,46.26,65.26
S310,3.44,55.66,84.82,45.9,58.99,55.37
S311,4.95,99.24,44.41,79.62,67.91,62.17
S312,1.71,91.94,89.21,85.86,88.08,71.3
S313,1.23,56.23,70.12,55.9,67.15,46.52
S314,9.66,96.04,84.95,41.26,78.62,80.11
S315,8.52,93.49,64.88,44.93,94.6,82.36
S316,7.26,75.94,75.4,98.07,47.23,66.86
S317,4.68,79.56,68.95,57.73,55.11,64.31
S318,2.56,69.95,80.24,86.15,61.7,63.25
S319,2.41,52.74,44.49,77.48,63.2,41.17
S320,3.25,66.76,43.32,62.92,62.61,48.41
S321,5.94,90.14,53.59,52.34,89.92,74.28
S322,7.43,50.23,48.77,47.28,79.27,57.48
S323,6.94,66.67,87.95,76.9,73.43,73.2
S324,3.52,69.91,52.06,86.48,57.02,57.69
S325,9.59,76.87,93.67,78.63,85.31,90.84
S326,7.64,95.99,58.53,71.82,92.53,77.61
S327,5.99,67.32,50.02,42.52,85.17,59.84
S328,6.51,67.35,83.43,98.11,40.09,74.11
S329,4.78,86.88,76.23,87.92,75.0,79.12
S330,3.23,72.61,67.4,57.57,42.81,57.68
S331,4.2,61.23,70.54,98.8,54.17,61.45
S332,7.82,72.62,79.56,76.11,43.27,67.0
S333,1.13,57.04,52.57,74.95,73.21,46.19
S334,2.04,58.82,94.8,84.88,77.76,66.71
S335,1.41,74.92,93.61,88.71,46.3,61.73
S336,1.37,70.95,75.77,79.39,61.11,62.32
S337,8.7,95.74,50.97,47.69,65.09,74.03
S338,7.33,68.12,77.41,60.3,60.3,63.39
S339,5.27,79.03,43.97,95.69,46.66,63.08
S340,1.88,81.61,41.69,53.48,63.04,45.41
S341,5.42,50.65,54.17,62.33,81.31,58.2
S342,5.26,83.18,65.44,65.92,43.91,62.52
S343,2.56,58.9,87.75,66.36,44.41,63.62
S344,4.9,98.05,79.99,76.78,59.51,83.89
S345,4.59,57.43,80.85,96.58,91.79,73.61
S346,6.54,70.73,63.4,54.44,76.77,66.42
S347,6.72,54.27,59.03,47.29,77.33,64.73
S348,1.41,99.84,60.41,51.85,59.91,59.31
S349,4.37,75.11,94.32,93.22,72.65,72.1
S350,6.63,79.77,42.21,78.75,40.56,66.25
S351,5.53,53.35,87.69,57.15,74.99,68.05
S352,8.71,87.5,71.83,88.96,90.23,86.16
S353,6.93,60.5,64.12,91.68,73.69,72.02
S354,2.47,94.9,79.89,90.79,88.05,73.49
S355,1.64,60.26,66.77,95.14,79.82,61.66
S356,6.78,59.53,88.04,55.13,46.63,63.24
S357,1.24,51.83,89.54,85.3,89.63,60.07
S358,6.27,73.6,63.19,67.63,43.65,57.29
S359,9.46,78.24,55.23,90.52,69.37,77.79
S360,6.18,53.29,72.58,83.71,47.82,65.3
S361,4.49,88.78,90.18,86.59,40.64,70.15
S362,6.79,72.66,51.59,79.37,63.21,71.68
S363,5.12,76.22,74.26,50.65,56.23,62.91
S364,5.91,72.04,74.74,72.7,66.73,71.16
S365,9.47,70.04,80.32,99.08,71.75,77.66
S366,4.47,77.98,47.24,96.24,42.41,55.15
S367,9.65,57.76,79.37,42.59,46.77,71.92
S368,9.15,59.1,90.0,49.89,70.73,79.72
S369,2.76,93.09,49.88,47.9,58.87,53.38
S370,1.62,97.31,53.06,83.56,80.1,60.88
S371,1.91,68.67,93.43,89.07,75.88,59.87
S372,1.16,63.54,49.95,52.81,86.51,49.26
S373,1.85,82.2,86.99,70.35,78.09,69.03
S374,7.15,70.44,67.08,90.44,63.65,72.8
S375,1.64,51.27,53.6,83.97,77.01,53.56
S376,3.87,57.81,87.89,72.53,55.15,61.69
S377,8.6,85.8,64.49,75.42,56.85,73.73
S378,1.21,82.95,68.31,70.5,83.39,57.78
S379,8.33,51.35,59.76,57.85,64.55,67.53
S380,3.54,61.1,72.61,73.9,83.91,65.07
S381,2.06,61.55,48.99,81.33,85.23,56.87
S382,7.27,83.59,61.51,92.4,87.17,74.84
S383,6.66,50.99,93.32,78.18,90.41,67.47
S384,8.9,55.21,54.2,85.67,63.7,72.53
S385,7.62,90.0,76.12,49.6,57.54,70.62
S386,8.23,58.93,57.89,67.69,72.02,64.56
S387,3.54,82.64,82.54,40.56,60.41,64.92
S388,2.6,61.91,47.2,54.8,73.06,49.2
S389,7.76,54.97,93.34,83.59,78.81,82.08
S390,8.26,62.16,64.96,99.51,77.86,77.32
S391,9.91,86.11,52.98,45.95,60.6,74.7
S392,4.71,92.78,44.04,64.09,49.18,52.13
S393,4.35,91.51,49.34,88.0,63.68,67.89
S394,7.99,69.86,68.59,52.24,47.84,66.93
S395,4.07,83.4,58.54,73.31,88.96,65.13
S396,9.38,60.25,85.59,83.98,59.02,77.67
S397,8.73,64.66,63.7,76.96,48.5,60.96
S398,4.86,94.82,53.68,51.28,41.4,59.58
S399,7.76,50.65,73.94,61.32,75.52,65.13
S400,7.79,54.28,78.87,87.03,75.03,68.35
S401,1.93,60.39,49.19,73.25,58.73,42.18
S402,9.12,51.33,49.22,40.31,43.94,62.65
S403,5.55,59.07,42.02,85.66,62.53,54.74
S404,8.44,79.15,80.5,42.12,57.12,78.82
S405,3.88,71.07,76.51,84.74,77.24,64.82
S406,9.06,94.63,66.1,52.15,73.32,71.15
S407,4.5,90.87,86.43,97.48,60.05,68.33
S408,1.1,67.09,84.31,62.08,51.98,58.79
S409,9.15,62.97,72.19,59.62,94.34,77.72
S410,1.82,68.98,87.75,48.93,64.97,55.98
S411,3.87,79.51,51.32,58.34,77.86,60.46
S412,9.55,63.4,46.16,92.6,47.73,68.91
S413,9.56,81.21,54.84,99.78,66.71,81.63
S414,6.16,70.47,43.14,62.1,41.51,60.59
S415,6.69,77.6,69.21,66.92,67.8,68.35
S416,5.04,71.81,91.51,83.32,93.02,71.46
S417,3.64,64.72,42.16,93.17,61.13,52.47
S418,3.96,97.42,46.72,75.58,42.14,58.09
S419,7.05,88.18,64.87,63.49,41.7,62.32
S420,7.77,57.01,91.36,64.76,61.34,68.59
S421,8.12,93.42,57.39,81.74,48.8,72.65
S422,8.11,74.37,67.9,40.19,41.28,64.2
S423,1.82,94.73,42.29,77.18,81.59,58.24
S424,5.45,89.99,48.16,61.33,65.22,59.81
S425,1.52,71.26,94.26,87.65,55.91,60.64
S426,5.95,51.12,93.08,45.58,89.5,67.12
S427,4.97,63.43,40.27,75.29,46.39,55.56
S428,8.99,77.08,92.35,68.86,92.58,90.52
S429,4.16,81.67,75.15,78.54,57.27,57.44
S430,2.05,62.89,87.74,43.89,88.86,58.09
S431,2.29,56.97,65.01,74.8,73.16,49.49
S432,7.85,91.75,68.36,73.69,85.47,76.94
S433,6.56,99.22,66.89,73.64,94.12,78.83
S434,1.91,76.28,76.68,76.21,55.86,52.2
S435,1.76,58.58,47.68,80.59,92.86,50.97
S436,7.31,63.62,41.65,88.3,61.42,58.51
S437,1.65,50.92,56.94,56.19,61.2,47.24
S438,8.4,95.71,78.76,89.5,58.72,80.8
S439,7.36,55.89,51.1,69.9,69.78,60.4
S440,1.73,78.83,77.04,44.62,48.48,54.22
S441,1.76,63.7,93.35,43.51,70.45,56.74
S442,9.88,77.71,45.16,60.05,69.79,70.41
S443,4.37,82.57,76.99,87.09,81.9,78.47
S444,4.34,91.49,64.41,82.46,85.85,76.02
S445,8.32,60.32,87.75,87.32,64.22,71.17
S446,9.53,50.55,49.74,71.04,56.63,68.11
S447,9.87,56.84,78.09,66.41,54.26,76.32
S448,7.78,95.0,86.1,48.85,50.7,70.41
S449,4.39,93.69,91.95,59.69,43.17,70.57
S450,1.75,79.87,77.58,66.04,58.83,64.27
S451,7.99,80.03,67.34,45.32,54.86,63.84
S452,6.03,83.25,73.98,53.24,93.15,70.49
S453,4.82,58.77,87.79,75.89,70.67,71.54
S454,9.16,95.72,71.38,84.14,59.1,81.2
S455,2.0,70.94,41.67,99.9,71.93,56.19
S456,5.43,69.16,91.2,95.99,47.66,70.71
S457,1.1,75.95,77.92,78.55,64.42,59.73
S458,5.22,52.35,77.21,65.27,74.44,58.93
S459,1.51,58.31,51.86,78.17,66.89,53.78
S460,2.07,86.9,76.24,87.14,62.1,67.43
S461,2.06,54.14,61.66,47.1,94.66,54.11
S462,6.84,80.16,75.82,64.59,88.42,76.06
S463,7.71,62.27,45.86,90.39,74.29,60.98
S464,6.25,69.46,76.18,63.03,71.32,71.19
S465,9.66,64.43,94.97,74.31,74.14,85.32
S466,4.37,67.78,42.65,75.27,51.07,52.65
S467,3.57,85.95,93.74,51.07,61.73,71.51
S468,8.82,64.86,62.38,61.73,42.17,63.88
S469,3.01,78.32,87.89,60.07,66.16,66.66
S470,9.67,73.8,83.03,41.57,69.87,73.74
S471,1.11,83.18,71.19,41.45,52.53,51.76
S472,9.73,96.84,80.61,89.9,93.02,90.74
S473,1.39,86.63,88.32,56.38,90.02,67.42
S474,9.02,60.75,62.23,71.08,79.72,71.83
S475,5.75,51.56,57.99,57.92,69.34,58.32
S476,9.94,63.11,76.72,96.44,87.85,87.16
S477,1.66,79.75,84.43,55.56,47.19,54.46
S478,5.98,52.57,81.93,65.78,83.48,62.8
S479,9.72,74.82,83.88,92.36,46.87,85.85
S480,5.71,79.84,63.96,90.52,83.68,77.54
S481,6.66,66.71,84.98,51.17,55.17,62.23
S482,7.26,88.55,46.61,88.16,88.24,76.74
S483,5.09,55.33,69.95,67.49,91.92,64.4
S484,6.65,53.76,40.32,68.98,48.18,55.04
S485,6.26,86.41,57.85,48.01,65.45,66.46
S486,9.11,74.77,60.16,44.84,93.95,75.11
S487,1.41,84.42,61.79,83.68,66.59,54.4
S488,3.53,71.74,78.25,69.79,87.5,64.45
S489,9.55,62.32,61.37,66.21,72.38,69.12
S490,9.01,90.96,64.68,83.77,60.64,74.07
S491,5.1,89.97,53.06,85.93,55.72,63.48
S492,6.58,84.73,60.53,49.53,51.18,60.86
S493,3.5,63.61,52.5,76.61,81.9,61.36
S494,2.69,79.51,44.03,48.12,61.26,56.65
S495,5.17,68.05,73.19,85.08,68.12,64.65
S496,4.18,54.58,76.75,79.42,67.08,62.87
S497,6.25,95.87,74.07,97.4,71.75,79.41
S498,1.7,56.84,65.49,44.14,87.61,55.81
S499,9.77,97.51,60.89,43.42,93.94,82.58
S500,9.88,72.3,87.48,56.93,62.42,82.17
